month,type,millions
Jan 2019,Arrivals,2.22
Jan 2019,Departures,1.91
Jul 2019,Arrivals,2.01
Jul 2019,Departures,1.76
Dec 2019,Arrivals,1.89
Dec 2019,Departures,2.24
Apr 2020,Arrivals,0.02
Apr 2020,Departures,0.06
Dec 2020,Arrivals,0.03
Dec 2020,Departures,0.05
Dec 2021,Arrivals,0.20
Dec 2021,Departures,0.23
Jun 2022,Arrivals,0.73
Jun 2022,Departures,0.88
Dec 2022,Arrivals,1.26
Dec 2022,Departures,1.52
Jun 2023,Arrivals,1.36
Jun 2023,Departures,1.56
Dec 2023,Arrivals,1.70
Dec 2023,Departures,2.03
Jun 2024,Arrivals,1.53
Jun 2024,Departures,1.76
Dec 2024,Arrivals,1.85
Dec 2024,Departures,2.26
Jun 2025,Arrivals,1.62
Jun 2025,Departures,1.81
Dec 2025,Arrivals,2.00
Dec 2025,Departures,2.45
Mar 2026,Arrivals,1.83
Mar 2026,Departures,1.88
